document_id,category,title,content,keywords
KB000035,Authentication,Everything You Need to Know About Two-Factor Authentication on iOS,"You can set up two-step verification on iOS in your security settings. Turning this on adds an extra layer of protection so a code is required in addition to your password. Choose to receive the code by text message, email, or an authenticator app. Keep a backup code stored somewhere safe in case you lose access to your device.","set up two-factor authentication, enable two-factor authentication, security code, 2fa, otp"
KB000036,Subscription and Plans,Do Your Plan Downgrade: A Simple Guide,"Downgrading your plan on the Website takes effect at the start of your next billing cycle, so you keep your current features until then.","downgrade plan, reduce plan tier"
KB000037,Authentication,How to Enable Your Two-Factor Authentication on Desktop,"You can set up two-step verification on Desktop in your security settings. Turning this on adds an extra layer of protection so a code is required in addition to your password. Choose to receive the code by text message, email, or an authenticator app. Keep a backup code stored somewhere safe in case you lose access to your device.","set up two-factor authentication, enable two-factor authentication, security code, 2fa, otp"
KB000038,Technical Support,Understand Your Error Codes: A Simple Guide,"Error codes shown on Desktop usually include a short reference number. Search the help center for that code, or contact support with a screenshot for a faster diagnosis.","error code meaning, what does this error mean, troubleshoot error"
KB000039,Privacy and Security,Everything You Need to Know About Data Deletion on the Mobile App,Requesting deletion of your personal data on the Mobile App can be done from the privacy settings. Some information may be retained briefly where required by law.,"delete my data, data removal request, right to be forgotten"
KB000040,Authentication,Fix Your Verification Code: A Simple Guide,"Most issues with a login code on the Website clear up after requesting a fresh one, since codes expire quickly. Check that your phone number or email on file is current, and look in your spam folder for email codes. If codes never arrive, confirm your carrier is not blocking short codes.","verification code not working, verification code delayed, otp not received, code expired"
KB000041,Billing and Payments,Everything You Need to Know About Payment History on iOS,Your full payment history is available on iOS under account activity. You can filter by date range and export the list for expense tracking.,"payment history, transaction history, billing records"
KB000042,Orders and Shipping,How to Find Your Order Confirmation on iOS,Your order confirmation on iOS is emailed immediately after purchase and also available in your order history for reference.,"order confirmation, purchase receipt, confirmation email missing"
KB000043,Subscription and Plans,Everything You Need to Know About Plan Upgrade on Android,Upgrading your plan on Android takes effect immediately and unlocks additional features right away. Any price difference is prorated for the current billing period.,"upgrade plan, unlock more features, prorated charge"
KB000044,Authentication,Reset Your Login Password: A Simple Guide,"If you can no longer use your sign-in password, you can restore access yourself in a few steps. Go to the sign-in page on Desktop and select the option to reset your password. Enter the email address linked to your account so a recovery message can be sent. Choose a new password you have not used before, mixing letters, numbers, and symbols. If these steps do not resolve it, contact support with your account email and any error message so we can look into it.","password recovery, reset password, identity verification, regain access, authentication"
KB000045,Technical Support,Understand Your Error Codes: A Simple Guide,"Error codes shown on the Website usually include a short reference number. Search the help center for that code, or contact support with a screenshot for a faster diagnosis.","error code meaning, what does this error mean, troubleshoot error"
KB000046,General FAQ,How to Check Your Pricing on Android,"You can check current pricing for Android at any time on the pricing page, which lists every plan and its included features.","check pricing, pricing details, plan cost"
KB000047,Subscription and Plans,Student Discount Applying: Step by Step,A student discount can be applied on the Mobile App by verifying your student status through the verification partner linked in your billing settings.,"student discount, education pricing, verify student status"
KB000048,Account Management,Everything You Need to Know About Profile Picture on the Mobile App,"Updating your profile picture on the Mobile App is simple: open your profile, select the current image, and upload a new photo from your device.","update profile picture, change avatar, upload photo"
KB000049,Account Management,How to Request Your Account Deletion on iOS,"If you want to permanently delete your account on iOS, go to account settings and select the delete account option. This action removes your data and cannot be undone, so make sure to export anything you want to keep first.","delete account, close account, permanent account removal"
KB000050,Billing and Payments,How to Update Your Payment Method on Android,"Updating your payment method on Android only takes a moment. Open your billing settings, remove the expired card, and add a new card or payment option. Future charges will automatically use the updated method.","update payment method, change credit card, add payment option, expired card"
KB000051,Subscription and Plans,Everything You Need to Know About Auto-Renewal on iOS,Auto-renewal for your subscription on iOS can be turned off from the billing settings if you do not want to be charged automatically at the end of your term.,"turn off auto renewal, manage renewal, avoid automatic charge"
KB000052,Authentication,Everything You Need to Know About Account Lockout on the Website,"Repeated failed sign-in attempts on the Website can temporarily lock your account as a security measure. Wait for the cooldown period to pass, or use the account recovery flow to verify your identity and regain access sooner.","account locked, too many attempts, unlock account, temporary lockout"
KB000053,Authentication,Enable Your Two-Factor Authentication: A Simple Guide,"You can set up two-step verification on the Website in your security settings. Turning this on adds an extra layer of protection so a code is required in addition to your password. Choose to receive the code by text message, email, or an authenticator app. Keep a backup code stored somewhere safe in case you lose access to your device.","set up two-factor authentication, enable two-factor authentication, security code, 2fa, otp"
KB000054,Subscription and Plans,Everything You Need to Know About Subscription Cancellation on Android,You can cancel your subscription on Android at any time from the billing settings page. Access continues until the end of the current billing period.,"cancel subscription, stop recurring billing, end plan"
KB000055,Orders and Shipping,Order Confirmation Finding: Step by Step,Your order confirmation on the Mobile App is emailed immediately after purchase and also available in your order history for reference.,"order confirmation, purchase receipt, confirmation email missing"
KB000056,Technical Support,App Crashing Fixing: Step by Step,"If Android keeps crashing, start by updating to the latest version, then restart your device. Clearing the app cache or reinstalling it often resolves crashes caused by corrupted temporary files.","app crashing, app keeps closing, force close, app not responding"
KB000057,Privacy and Security,Manage Your Permissions: A Simple Guide,"App permissions on Android control what data and device features are shared. Review and adjust camera, location, and contact permissions at any time in settings.","manage permissions, app permissions, location access"
KB000058,General FAQ,Feature Overview Exploring: Step by Step,"A full feature overview for Android is available in the help center, covering everything from basic setup to advanced tools.","feature overview, what can it do, product features"
KB000059,Billing and Payments,Payment History Reviewing: Step by Step,Your full payment history is available on the Mobile App under account activity. You can filter by date range and export the list for expense tracking.,"payment history, transaction history, billing records"
KB000060,Authentication,Authenticator App Set Uping: Step by Step,"Setting up an authenticator app on Desktop takes only a minute and improves your account security. Download a supported authenticator app, scan the QR code shown in your security settings, and enter the six digit code it generates to confirm the link.","set up authenticator app, enable authenticator app, google authenticator, totp setup"
KB000061,Privacy and Security,How to Review Your Device Management on the Website,The device management page on the Website lists every device currently signed into your account. Remove any device you do not recognize to keep your account secure.,"manage devices, signed in devices, remove device access"
KB000062,Billing and Payments,Tax Invoice Requesting: Step by Step,A formal tax invoice can be requested from Android through the billing help center. Provide your billing details and the invoice will be generated and emailed to you.,"tax invoice, vat invoice, billing receipt request"
KB000063,General FAQ,Track Your Common Questions: A Simple Guide,This article explains what your most common question about iOS usually covers and links to detailed guides for each topic.,"common question, faq, help topics"
KB000064,Technical Support,How to Understand Your Error Codes on the Mobile App,"Error codes shown on the Mobile App usually include a short reference number. Search the help center for that code, or contact support with a screenshot for a faster diagnosis.","error code meaning, what does this error mean, troubleshoot error"
KB000065,Billing and Payments,Refund Check Statusing: Step by Step,"You can check your refund status on iOS in the billing history section. Refunds are typically processed within five to ten business days, though your bank may take longer to reflect the credit.","refund status, refund process, money back, pending refund"
KB000066,Privacy and Security,Device Management Reviewing: Step by Step,The device management page on Android lists every device currently signed into your account. Remove any device you do not recognize to keep your account secure.,"manage devices, signed in devices, remove device access"
KB000067,Billing and Payments,Invoice Accessing: Step by Step,"You can view and download your invoices from the Mobile App at any time under the billing section of your account. Each invoice lists the charge date, amount, and payment method used, and can be exported as a PDF for your records.","download invoice, view billing history, receipt, invoice pdf"
KB000068,Subscription and Plans,Plan Comparison Reviewing: Step by Step,You can compare plans on Android side by side on the pricing page to see which features are included at each tier.,"compare plans, pricing details, feature comparison"
KB000069,Authentication,Account Lockout Resolving: Step by Step,"Repeated failed sign-in attempts on iOS can temporarily lock your account as a security measure. Wait for the cooldown period to pass, or use the account recovery flow to verify your identity and regain access sooner.","account locked, too many attempts, unlock account, temporary lockout"
KB000070,Privacy and Security,Everything You Need to Know About Two-Step Verification on iOS,"Two-step verification settings on iOS can be reviewed, updated, or disabled from your security page at any time.","manage two step verification, security settings review"
KB000071,Subscription and Plans,How to Start Your Free Trial on the Website,"Starting a free trial on the Website gives you full access to premium features for a limited time, with no charge until the trial ends.","start free trial, trial period, free trial ending"
KB000072,Account Management,Update Your Profile Details: A Simple Guide,"Updating your profile details on iOS takes only a minute and helps keep your account information current. Open your account settings, edit your name, phone number, or address, and save the changes.","update profile, edit account details, change personal information"
KB000073,Authentication,Fix Your Verification Code: A Simple Guide,"Most issues with a login code on Android clear up after requesting a fresh one, since codes expire quickly. Check that your phone number or email on file is current, and look in your spam folder for email codes. If codes never arrive, confirm your carrier is not blocking short codes.","verification code not working, verification code delayed, otp not received, code expired"
KB000074,General FAQ,Join Your Referral Program: A Simple Guide,Joining the referral program on iOS lets you earn rewards for inviting friends who sign up and become active users.,"referral program, invite friends, earn rewards"
KB000075,Authentication,How to Troubleshoot Your Login Errors on the Website,"Problems signing in on the Website are often caused by an outdated app version, an expired session, or a typo in your credentials. Clear your cache, confirm your internet connection, and make sure caps lock is off. If the issue continues after several attempts, your account may be temporarily locked for security reasons; wait a few minutes before trying again.","login not working, login error, technical issue, sign in problem, cannot log in"
KB000076,Technical Support,Fix Your Notifications: A Simple Guide,"If notifications are not appearing on iOS, check that notification permissions are enabled at the device level and that do not disturb mode is turned off.","notifications not working, push notifications disabled, missing alerts"
KB000077,Orders and Shipping,Everything You Need to Know About Shipping Address on Android,"You can update your shipping address on Android before an order ships. Once a package is in transit, contact support to see if a redirection is possible.","change shipping address, update delivery address, wrong address"
KB000078,Subscription and Plans,Subscription Cancellation Requesting: Step by Step,You can cancel your subscription on iOS at any time from the billing settings page. Access continues until the end of the current billing period.,"cancel subscription, stop recurring billing, end plan"
KB000079,Orders and Shipping,How to Check Your Order Tracking on the Website,You can track your order on the Website from the order history page. Tracking updates as the package moves through each shipping stage.,"track order, order status, shipment tracking"
KB000080,General FAQ,Join Your Referral Program: A Simple Guide,Joining the referral program on Desktop lets you earn rewards for inviting friends who sign up and become active users.,"referral program, invite friends, earn rewards"
KB000081,Account Management,Everything You Need to Know About Duplicate Accounts on the Mobile App,"If you accidentally created more than one account on the Mobile App, contact support with both account emails to request a merge. This combines your history and settings into a single account.","merge accounts, duplicate account, combine accounts"
KB000082,Orders and Shipping,How to Check Your Order Tracking on Android,You can track your order on Android from the order history page. Tracking updates as the package moves through each shipping stage.,"track order, order status, shipment tracking"
KB000083,Subscription and Plans,Auto-Renewal Managing: Step by Step,Auto-renewal for your subscription on the Website can be turned off from the billing settings if you do not want to be charged automatically at the end of your term.,"turn off auto renewal, manage renewal, avoid automatic charge"
KB000084,Technical Support,How to Improve Your Slow Performance on the Website,"Slow performance on the Website can usually be improved by closing background apps, checking your internet connection speed, and clearing cached data from the settings menu.","app running slow, performance issue, lag, loading slowly"
KB000085,Orders and Shipping,Understand Your Shipping Cost: A Simple Guide,"Shipping costs on the Mobile App are calculated at checkout based on your location, order weight, and chosen delivery speed.","shipping cost, delivery fee, free shipping threshold"
KB000086,Billing and Payments,Failed Payment Resolving: Step by Step,"A failed payment on the Mobile App is usually caused by insufficient funds, an expired card, or a bank decline. Update your payment details and retry the charge from your billing page to avoid any service interruption.","payment failed, card declined, billing issue, retry payment"
KB000087,Account Management,Everything You Need to Know About Email Address on the Mobile App,"You can change the email address linked to your account on the Mobile App from the account settings page. A confirmation link will be sent to the new address, and it must be verified before the change takes effect.","change email, update email address, verify new email"
KB000088,Technical Support,Notifications Fixing: Step by Step,"If notifications are not appearing on Desktop, check that notification permissions are enabled at the device level and that do not disturb mode is turned off.","notifications not working, push notifications disabled, missing alerts"
KB000089,Orders and Shipping,Delayed Shipment Checking: Step by Step,"If your shipment on the Website is running later than expected, check the tracking page for the latest carrier update before reaching out, since most delays resolve within a few days.","delayed shipment, late delivery, package delayed"
KB000090,Orders and Shipping,How to Understand Your Shipping Cost on iOS,"Shipping costs on iOS are calculated at checkout based on your location, order weight, and chosen delivery speed.","shipping cost, delivery fee, free shipping threshold"
KB000091,Authentication,Reset Your Login Password: A Simple Guide,"If you can no longer use your sign-in password, you can restore access yourself in a few steps. Go to the sign-in page on iOS and select the option to reset your password. Enter the email address linked to your account so a recovery message can be sent. Choose a new password you have not used before, mixing letters, numbers, and symbols. If these steps do not resolve it, contact support with your account email and any error message so we can look into it.","password recovery, reset password, identity verification, regain access, authentication"
KB000092,Subscription and Plans,Manage Your Auto-Renewal: A Simple Guide,Auto-renewal for your subscription on Android can be turned off from the billing settings if you do not want to be charged automatically at the end of your term.,"turn off auto renewal, manage renewal, avoid automatic charge"
KB000093,General FAQ,Getting Started Learning: Step by Step,"Getting started with the Mobile App takes only a minute. Create your account, complete your profile, and explore the quick tour to learn the basics.","getting started, new user guide, quick start"
KB000094,Privacy and Security,Everything You Need to Know About Data Export on the Mobile App,You can request an export of your personal data on the Mobile App from the privacy settings page. The export is prepared as a downloadable file and usually ready within a few days.,"export my data, download personal data, data portability"
KB000095,Technical Support,Improve Your Slow Performance: A Simple Guide,"Slow performance on iOS can usually be improved by closing background apps, checking your internet connection speed, and clearing cached data from the settings menu.","app running slow, performance issue, lag, loading slowly"
KB000096,Privacy and Security,How to Review Your Login Activity on Android,Reviewing your recent login activity on Android helps you spot anything you do not recognize. Look for unfamiliar locations or timestamps and change your password if something looks off.,"review login activity, recent sign ins, suspicious activity"
KB000097,Authentication,How to Enable Your Biometric Login on iOS,"Fingerprint and face unlock can be enabled on iOS from the security section of your settings. This lets you sign in without typing your password each time, while still keeping your account protected on the device.","enable biometric login, fingerprint login, face id login, device unlock"
KB000098,Orders and Shipping,How to Check Your Out of Stock on Desktop,"If an item is out of stock on Desktop, you can turn on restock notifications to be emailed as soon as it becomes available again.","out of stock, restock notification, item unavailable"
KB000099,Privacy and Security,Everything You Need to Know About Login Activity on Desktop,Reviewing your recent login activity on Desktop helps you spot anything you do not recognize. Look for unfamiliar locations or timestamps and change your password if something looks off.,"review login activity, recent sign ins, suspicious activity"
KB000100,Account Management,How to Request Your Account Deletion on Desktop,"If you want to permanently delete your account on Desktop, go to account settings and select the delete account option. This action removes your data and cannot be undone, so make sure to export anything you want to keep first.","delete account, close account, permanent account removal"
KB000101,Account Management,Request Your Account Deactivation: A Simple Guide,Deactivating your account on the Website temporarily hides your profile without deleting your data. You can reactivate at any time simply by signing back in.,"deactivate account, temporary account pause, hide profile"
KB000102,Billing and Payments,How to Request Your Tax Invoice on iOS,A formal tax invoice can be requested from iOS through the billing help center. Provide your billing details and the invoice will be generated and emailed to you.,"tax invoice, vat invoice, billing receipt request"
KB000103,Technical Support,Fix Your App Crashing: A Simple Guide,"If the Website keeps crashing, start by updating to the latest version, then restart your device. Clearing the app cache or reinstalling it often resolves crashes caused by corrupted temporary files.","app crashing, app keeps closing, force close, app not responding"
KB000104,Orders and Shipping,How to Find Your Order Confirmation on the Website,Your order confirmation on the Website is emailed immediately after purchase and also available in your order history for reference.,"order confirmation, purchase receipt, confirmation email missing"
KB000105,Account Management,Request Your Account Deactivation: A Simple Guide,Deactivating your account on the Mobile App temporarily hides your profile without deleting your data. You can reactivate at any time simply by signing back in.,"deactivate account, temporary account pause, hide profile"
KB000106,Privacy and Security,View Your Privacy Policy: A Simple Guide,You can view the privacy policy for Desktop at any time from the legal section of your settings. It explains what data is collected and how it is used.,"check privacy policy, privacy policy status, data usage policy"
KB000107,Privacy and Security,How to Request Your Data Deletion on Desktop,Requesting deletion of your personal data on Desktop can be done from the privacy settings. Some information may be retained briefly where required by law.,"delete my data, data removal request, right to be forgotten"
KB000108,General FAQ,Check Your Accessibility: A Simple Guide,"Accessibility options for Desktop include screen reader support, adjustable text size, and high contrast display modes.","accessibility options, screen reader support, text size"
KB000109,Technical Support,Everything You Need to Know About Bug Report on the Mobile App,"If you find a bug on the Mobile App, use the report a problem option in settings and include steps to reproduce it. Screenshots help our team resolve issues faster.","report a bug, submit feedback, app issue report"
KB000110,Billing and Payments,Update Your Payment Method: A Simple Guide,"Updating your payment method on iOS only takes a moment. Open your billing settings, remove the expired card, and add a new card or payment option. Future charges will automatically use the updated method.","update payment method, change credit card, add payment option, expired card"
KB000111,Subscription and Plans,Plan Downgrade Doing: Step by Step,"Downgrading your plan on iOS takes effect at the start of your next billing cycle, so you keep your current features until then.","downgrade plan, reduce plan tier"
KB000112,Subscription and Plans,Plan Downgrade Doing: Step by Step,"Downgrading your plan on the Mobile App takes effect at the start of your next billing cycle, so you keep your current features until then.","downgrade plan, reduce plan tier"
KB000113,Technical Support,Everything You Need to Know About App Update on Desktop,Updating Desktop to the newest version brings bug fixes and performance improvements. Enable automatic updates in your app store settings so you never miss one.,"update app, latest version, app update available"
KB000114,Subscription and Plans,How to Do Your Plan Upgrade on the Mobile App,Upgrading your plan on the Mobile App takes effect immediately and unlocks additional features right away. Any price difference is prorated for the current billing period.,"upgrade plan, unlock more features, prorated charge"
KB000115,Authentication,Login Password Reseting: Step by Step,"If you can no longer use your sign-in password, you can restore access yourself in a few steps. Go to the sign-in page on Android and select the option to reset your password. Enter the email address linked to your account so a recovery message can be sent. Choose a new password you have not used before, mixing letters, numbers, and symbols. If these steps do not resolve it, contact support with your account email and any error message so we can look into it.","password recovery, reset password, identity verification, regain access, authentication"
KB000116,Account Management,Change Your Email Address: A Simple Guide,"You can change the email address linked to your account on Desktop from the account settings page. A confirmation link will be sent to the new address, and it must be verified before the change takes effect.","change email, update email address, verify new email"
KB000117,Billing and Payments,How to Change Your Currency on Desktop,You can change your billing currency on Desktop from your account preferences. Note that pricing may vary slightly by region due to exchange rates and local taxes.,"change currency, billing currency, pricing region"
KB000118,Orders and Shipping,Everything You Need to Know About Order Confirmation on Desktop,Your order confirmation on Desktop is emailed immediately after purchase and also available in your order history for reference.,"order confirmation, purchase receipt, confirmation email missing"
KB000119,Subscription and Plans,How to Start Your Free Trial on Android,"Starting a free trial on Android gives you full access to premium features for a limited time, with no charge until the trial ends.","start free trial, trial period, free trial ending"
KB000120,Orders and Shipping,Everything You Need to Know About Delayed Shipment on the Mobile App,"If your shipment on the Mobile App is running later than expected, check the tracking page for the latest carrier update before reaching out, since most delays resolve within a few days.","delayed shipment, late delivery, package delayed"
KB000121,Privacy and Security,Manage Your Permissions: A Simple Guide,"App permissions on Desktop control what data and device features are shared. Review and adjust camera, location, and contact permissions at any time in settings.","manage permissions, app permissions, location access"
KB000122,Orders and Shipping,Request Your Order Cancellation: A Simple Guide,"Orders can be canceled on iOS within a short window after purchase, as long as the item has not already shipped. Go to order history and select cancel order.","cancel order, stop shipment, order cancellation window"
KB000123,Authentication,Enable Your Biometric Login: A Simple Guide,"Fingerprint and face unlock can be enabled on the Mobile App from the security section of your settings. This lets you sign in without typing your password each time, while still keeping your account protected on the device.","enable biometric login, fingerprint login, face id login, device unlock"
KB000124,Authentication,How to Enable Your Two-Factor Authentication on Android,"You can set up two-step verification on Android in your security settings. Turning this on adds an extra layer of protection so a code is required in addition to your password. Choose to receive the code by text message, email, or an authenticator app. Keep a backup code stored somewhere safe in case you lose access to your device.","set up two-factor authentication, enable two-factor authentication, security code, 2fa, otp"
KB000125,Orders and Shipping,How to Check Your Out of Stock on Android,"If an item is out of stock on Android, you can turn on restock notifications to be emailed as soon as it becomes available again.","out of stock, restock notification, item unavailable"
KB000126,Technical Support,How to Resolve Your Sync Issues on Desktop,"If your data is not syncing on Desktop, confirm you are signed into the same account on all devices and that background sync is enabled in your settings.","sync not working, data not syncing, sync error"
KB000127,Technical Support,Fix Your Connectivity: A Simple Guide,"Connectivity issues on Desktop are often resolved by switching between wifi and mobile data, restarting your router, or checking for a wider service outage.","connection issue, cannot connect, network error"
KB000128,Account Management,Update Your Profile Details: A Simple Guide,"Updating your profile details on Desktop takes only a minute and helps keep your account information current. Open your account settings, edit your name, phone number, or address, and save the changes.","update profile, edit account details, change personal information"
KB000129,Account Management,How to Merge Your Duplicate Accounts on Desktop,"If you accidentally created more than one account on Desktop, contact support with both account emails to request a merge. This combines your history and settings into a single account.","merge accounts, duplicate account, combine accounts"
KB000130,Subscription and Plans,Plan Upgrade Doing: Step by Step,Upgrading your plan on Desktop takes effect immediately and unlocks additional features right away. Any price difference is prorated for the current billing period.,"upgrade plan, unlock more features, prorated charge"
KB000131,Authentication,Everything You Need to Know About Verification Code on the Mobile App,"Most issues with a login code on the Mobile App clear up after requesting a fresh one, since codes expire quickly. Check that your phone number or email on file is current, and look in your spam folder for email codes. If codes never arrive, confirm your carrier is not blocking short codes.","verification code not working, verification code delayed, otp not received, code expired"
KB000132,Orders and Shipping,Start Your Returns: A Simple Guide,"Starting a return on the Mobile App is simple from the order history page. Print the prepaid label, pack the item securely, and drop it off at any listed carrier location.","return item, start a return, return label"
KB000133,Authentication,How to Understand Your Session Expiration on Desktop,"For your security, Desktop automatically signs you out after a period of inactivity. Enable the remember me option on trusted personal devices to stay signed in longer between visits.","session expired, signed out automatically, stay logged in, remember me option"
KB000134,Privacy and Security,Permissions Managing: Step by Step,"App permissions on the Website control what data and device features are shared. Review and adjust camera, location, and contact permissions at any time in settings.","manage permissions, app permissions, location access"
KB000135,Subscription and Plans,How to Set Up Your Family Plan on the Website,Setting up a family plan on the Website lets you add multiple members under a single subscription and shared billing.,"family plan, shared subscription, add family member"
KB000136,Authentication,Everything You Need to Know About Session Expiration on iOS,"For your security, iOS automatically signs you out after a period of inactivity. Enable the remember me option on trusted personal devices to stay signed in longer between visits.","session expired, signed out automatically, stay logged in, remember me option"
